,Unnamed: 0.1,Unnamed: 0,№,street,zip_code,latitude,longitude,region,hex_id
146,146,146,148,"""Москва, Мрузовский переулок, 11с10""",105120,55.7588226,37.66820614123354,"105120, г Москва, Басманный р-н, Мрузовский пер, д 11 стр 10",8811aa6327fffff
147,147,147,149,"""Москва, Большая Тульская улица, 19 """,115191,55.707021,37.621808,"115191, г Москва, Даниловский р-н, ул Большая Тульская, д 19",8811aa7127fffff
148,148,148,150,"""Москва, улица Сергея Макеева, 7с4""",123100,55.7604981,37.54848076290288,"123100, г Москва, Пресненский р-н, ул Сергея Макеева, д 7 стр 4",8811aa7acdfffff
149,149,149,151,"""Москва, 5-я Магистральная улица, 15с11""",123007,55.7760061,37.52290715104674,"123007, г Москва, Хорошевский р-н, ул 5-я Магистральная, д 15 стр 11",8811aa712bfffff
150,150,150,152,"""Москва, Раменский бульвар, 1""",119607,55.69239695,37.51669249509876,"119607, г Москва, р-н Раменки, Раменский б-р, д 1",8811aa7a61fffff
151,151,151,153,"""Москва, улица Новинки, 3""",115470,55.677863,37.6677221444173,"115470, г Москва, р-н Нагатинский Затон, ул Новинки, д 3",8811aa798dfffff
152,152,152,154,"""Москва, улица Косыгина 17к1""",119334,55.7029894,37.5544108119572,"119334, г Москва, Гагаринский р-н, ул Косыгина, д 17 к 1",8811aa784dfffff
153,153,153,155,"""Москва, Островная улица, 7""",121552,55.75719515,37.44344949271287,"121552, г Москва, Крылатское р-н, ул Островная, д 7",8811aa4499fffff
154,154,154,156,"""Москва, улица Измайловский Вал, 7с1""",107023,55.787090500000005,37.71306679587083,"107023, г Москва, Преображенское р-н, ул Измайловский Вал, д 7 стр 1",8811aa6335fffff
155,155,155,157,"""Москва, проезд Стройкомбината, 1с1""",119530,55.6827711,37.4483712,"119530, г Москва, Очаково-Матвеевское р-н, пр-д Стройкомбината, д 1 стр 80",8811aa4581fffff
156,156,156,158,"""Москва, Алтуфьевское шоссе, 12""",127562,55.88488655,37.58331495,"127562, г Москва, Отрадное р-н, Алтуфьевское шоссе, д 12",8811aa71dbfffff
157,157,157,159,"""Москва, Фруктовая улица, 24""",117638,55.662832300000005,37.606354533823534,"117638, г Москва, р-н Зюзино, ул Фруктовая, д 24",8811aa7957fffff
158,158,158,160,"""Москва, улица Лобачевского, 44""",119415,55.6698178,37.49975378690476,"119415, г Москва, р-н Проспект Вернадского, ул Лобачевского, д 44",8811aa7b47fffff
159,159,159,161,"""Москва, проспект Генерала Дорохова, 80""",121471,55.6829503,37.4168422,"121471, г Москва, Очаково-Матвеевское р-н, пр-кт Генерала Дорохова, д 80",8811aa4585fffff
160,160,160,162,"""Москва, Ельнинская улица, 24""",121552,55.74016325,37.41997622453718,"121552, г Москва, р-н Кунцево, ул Ельнинская, д 24",8811aa44e3fffff
161,161,161,163,"""Москва, 1-й Хорошёвский проезд, 4к3""",125284,55.77763564999999,37.54817828805301,"125284, г Москва, Хорошевский р-н, 1-й Хорошёвский проезд, д 4 к 3",8811aa7135fffff
162,162,162,164,"""Москва, улица Маршала Катукова, вл33""",123181,55.8032694,37.4222727,"123181, г Москва, р-н Строгино, ул Исаковского, д 33 к 1",8811aa7363fffff
