,zip_code,date,time,temperature,humidity,wind_speed
0,117607,2024-06-03,00:00,72,57,2
1,117607,2024-06-03,00:30,70,60,3
2,117607,2024-06-03,01:00,68,64,3
3,117607,2024-06-03,01:30,68,64,0
4,117607,2024-06-03,02:00,66,68,1
5,117607,2024-06-03,02:30,64,73,1
6,117607,2024-06-03,03:00,64,73,0
7,117607,2024-06-03,03:30,64,73,1
8,117607,2024-06-03,04:00,63,72,0
9,117607,2024-06-03,04:30,64,68,0
10,117607,2024-06-03,05:00,64,68,1
11,117607,2024-06-03,05:30,63,72,2
12,117607,2024-06-03,06:00,63,72,3
13,117607,2024-06-03,06:30,66,68,1
14,117607,2024-06-03,07:00,66,64,1
15,117607,2024-06-03,07:30,68,64,5
16,117607,2024-06-03,08:00,70,56,5
17,117607,2024-06-03,08:30,72,57,6
18,117607,2024-06-03,09:00,70,56,9
19,117607,2024-06-03,09:30,73,50,6
20,117607,2024-06-03,10:00,77,47,8
21,117607,2024-06-03,10:30,79,42,8
22,117607,2024-06-03,11:00,82,37,8
23,117607,2024-06-03,11:30,84,35,9
24,117607,2024-06-03,12:00,84,35,7
25,117607,2024-06-03,12:30,88,31,7
26,117607,2024-06-03,13:00,88,31,8
27,117607,2024-06-03,13:30,88,33,7
28,117607,2024-06-03,14:00,91,31,7
29,117607,2024-06-03,14:30,90,33,8
30,117607,2024-06-03,15:00,91,31,6
31,117607,2024-06-03,15:30,90,33,6
32,117607,2024-06-03,16:00,90,33,6
33,117607,2024-06-03,16:30,93,30,7
34,117607,2024-06-03,17:00,91,31,3
35,117607,2024-06-03,17:30,91,31,8
36,117607,2024-06-03,18:00,90,36,9
37,117607,2024-06-03,18:30,90,36,8
38,117607,2024-06-03,19:00,88,38,9
39,117607,2024-06-03,19:30,84,45,10
40,117607,2024-06-03,20:00,81,54,7
41,117607,2024-06-03,20:30,75,69,14
42,117607,2024-06-03,21:00,73,73,9
43,117607,2024-06-03,21:30,73,73,8
44,117607,2024-06-03,22:00,70,88,5
45,117607,2024-06-03,22:30,70,88,0
46,117607,2024-06-03,23:00,70,88,1
47,117607,2024-06-03,23:30,70,83,0
