,zip_code,date,time,temperature,humidity,wind_speed
0,109457,2024-06-15,00:00,57,94,2
1,109457,2024-06-15,00:30,57,94,2
2,109457,2024-06-15,01:00,59,88,2
3,109457,2024-06-15,01:30,55,100,2
4,109457,2024-06-15,02:00,55,100,2
5,109457,2024-06-15,02:30,55,100,2
6,109457,2024-06-15,03:00,55,100,2
7,109457,2024-06-15,03:30,55,100,2
8,109457,2024-06-15,04:00,54,100,2
9,109457,2024-06-15,04:30,55,100,0
10,109457,2024-06-15,05:00,55,100,2
11,109457,2024-06-15,05:30,59,94,2
12,109457,2024-06-15,06:00,61,82,2
13,109457,2024-06-15,06:30,64,73,4
14,109457,2024-06-15,07:00,66,68,4
15,109457,2024-06-15,07:30,66,68,4
16,109457,2024-06-15,08:00,68,64,4
17,109457,2024-06-15,08:30,68,64,4
18,109457,2024-06-15,09:00,70,60,4
19,109457,2024-06-15,09:30,70,53,7
20,109457,2024-06-15,10:00,70,56,4
21,109457,2024-06-15,10:30,72,53,7
22,109457,2024-06-15,11:00,72,50,7
23,109457,2024-06-15,11:30,72,50,4
24,109457,2024-06-15,12:00,73,47,4
25,109457,2024-06-15,12:30,73,53,7
26,109457,2024-06-15,13:00,75,44,7
27,109457,2024-06-15,13:30,73,47,7
28,109457,2024-06-15,14:00,75,44,4
29,109457,2024-06-15,14:16,77,44,7
30,109457,2024-06-15,14:30,73,47,7
31,109457,2024-06-15,14:46,75,44,7
32,109457,2024-06-15,15:00,75,41,9
33,109457,2024-06-15,15:30,77,41,9
34,109457,2024-06-15,16:00,75,41,7
35,109457,2024-06-15,16:30,77,39,7
36,109457,2024-06-15,17:00,77,39,9
37,109457,2024-06-15,17:30,75,41,7
38,109457,2024-06-15,18:00,75,41,7
39,109457,2024-06-15,18:30,75,44,4
40,109457,2024-06-15,19:00,75,44,4
41,109457,2024-06-15,19:30,75,47,4
42,109457,2024-06-15,20:00,73,50,7
43,109457,2024-06-15,20:30,73,50,4
44,109457,2024-06-15,21:00,72,53,4
45,109457,2024-06-15,21:30,70,60,4
46,109457,2024-06-15,22:00,68,60,4
47,109457,2024-06-15,22:30,64,73,2
48,109457,2024-06-15,23:00,64,73,2
49,109457,2024-06-15,23:30,64,68,4
